code,gender,name,country,disciplines
1532872,Male,ALEKSANYAN Artur,Armenia,['Wrestling']
1532873,Male,AMOYAN Malkhas,Armenia,['Wrestling']
1532874,Male,GALSTYAN Slavik,Armenia,['Wrestling']
1532944,Male,HARUTYUNYAN Arsen,Armenia,['Wrestling']
1532945,Male,TEVANYAN Vazgen,Armenia,['Wrestling']
1532951,Female,ARENAS Lorena,Colombia,['Athletics']
1533112,Male,McKENZIE Ashley,Jamaica,['Judo']
1533136,Female,BASS BITTAYE Gina Mariam,Gambia,['Athletics']
1533176,Male,CAMARA Ebrahima,Gambia,['Athletics']
1533188,Female,RUEDA SANTOS Lizeth,Mexico,['Triathlon']
1533189,Female,TAPIA VIDAL Rosa Maria,Mexico,['Triathlon']
1533190,Male,GRAJALES Crisanto,Mexico,['Triathlon']
1533208,Male,MAAROUFOU Hachim,Comoros,['Athletics']
1533209,Female,SAADI Maesha,Comoros,['Swimming']
1533230,Female,DIOSDADO Nuria,Mexico,['Artistic Swimming']
1533231,Female,JIMENEZ Joana,Mexico,['Artistic Swimming']
1533232,Female,SOBRINO Jessica,Mexico,['Artistic Swimming']
1533234,Female,ALFEREZ Regina,Mexico,['Artistic Swimming']
1533235,Female,ARELLANO Fernanda,Mexico,['Artistic Swimming']
1533237,Female,TOSCANO Pamela,Mexico,['Artistic Swimming']
1533239,Female,GONZALEZ Itzamary,Mexico,['Artistic Swimming']
1533240,Female,RODRIGUEZ Samanta,Mexico,['Artistic Swimming']
1533243,Female,INZUNZA Glenda,Mexico,['Artistic Swimming']
1533245,Male,SEHEN Sajjad,Iraq,['Judo']
1533359,Male,RUBAIAWI Ali Ammar Yusur,Iraq,['Weightlifting']
1533364,Male,ISMAIL Mohamed,Djibouti,['Athletics']
1533371,Male,HASSAN Ibrahim,Djibouti,['Athletics']
1533372,Male,WAISS Abdi,Djibouti,['Athletics']
1533374,Female,HASSAN NOUR Samiyah,Djibouti,['Athletics']
1533378,Male,HOUSSEIN BARKAT Houmed,Djibouti,['Swimming']
1535180,Male,BARAT Andy,Comoros,['Canoe Slalom']
1535186,Male,MARTINEZ RAMIREZ Miguel Angel,Mexico,['Boxing']
1535187,Male,VERDE ALVAREZ Marco Alonso,Mexico,['Boxing']
1535191,Female,GONZALEZ Alegna,Mexico,['Athletics']
1535195,Male,LOPEZ Jesus Tonatiu,Mexico,['Athletics']
1535199,Male,PORTILLO Erick,Mexico,['Athletics']
1535201,Male,MUNOZ Uziel,Mexico,['Athletics']
1535202,Male,del REAL Diego,Mexico,['Athletics']
1535203,Male,DOCTOR Jose Luis,Mexico,['Athletics']
1535212,Female,MORAN Paola,Mexico,['Athletics']
1535214,Female,GALVAN Laura,Mexico,['Athletics']
1535216,Female,CORTES Alma Delia,Mexico,['Athletics']
1535217,Female,CRISTIAN MOSCOTE Citlali,Mexico,['Athletics']
1535222,Male,PALMA OLIVARES Ever Jair,Mexico,['Athletics']
1535225,Female,OETLING RAMIREZ Elena,Mexico,['Sailing']
1535226,Female,AGUILAR CHAVEZ PEON Mariana,Mexico,['Sailing']
1535252,Female,LECHUGA ALANIS Kenia,Mexico,['Rowing']
1535260,Male,LOPEZ GARCIA Alexis,Mexico,['Rowing']
1535267,Male,CARBALLO NIETO Miguel,Mexico,['Rowing']
1535310,Female,BLANCO Luisa,Colombia,['Artistic Gymnastics']
1535343,Male,WILLARS VALDEZ Randal,Mexico,['Diving']
1535345,Male,BERLIN REYES Kevin,Mexico,['Diving']
1535346,Female,OROZCO LOZA Alejandra,Mexico,['Diving']
1535348,Female,AGUNDEZ GARCIA Gabriela,Mexico,['Diving']
1535349,Male,OLVERA IBARRA Osmar,Mexico,['Diving']
1535350,Male,GARZA PEREZ Eugenio,Mexico,['Equestrian']
1535351,Male,FERNANDEZ Federico,Mexico,['Equestrian']
1535354,Male,de LARA OJEDA Miguel Alejandro,Mexico,['Swimming']
1535356,Female,MORENO Alexa,Mexico,['Artistic Gymnastics']
1535357,Female,SANDOVAL Ahtziri,Mexico,['Artistic Gymnastics']
1535358,Female,FLORES Sofia,Mexico,['Rhythmic Gymnastics']
1535359,Female,SALAZAR Kimberly,Mexico,['Rhythmic Gymnastics']
1535360,Female,TEJEDA Adirem,Mexico,['Rhythmic Gymnastics']
1535361,Female,ALCOCER Dalia,Mexico,['Rhythmic Gymnastics']
1535362,Female,GUTIERREZ Julia,Mexico,['Rhythmic Gymnastics']
1535363,Male,HERNANDEZ Emiliano,Mexico,['Modern Pentathlon']
1535364,Male,CARRILLO Duilio,Mexico,['Modern Pentathlon']
1535365,Female,OLIVER Mayan,Mexico,['Modern Pentathlon']
1535366,Male,SANSORES Carlos,Mexico,['Taekwondo']
1535367,Female,SOUZA Daniela Paola,Mexico,['Taekwondo']
1535368,Male,CLELAND QUINONEZ Alan,Mexico,['Surfing']
1535373,Male,GRIGORIAN Aram,UA Emirates,['Judo']
1535374,Male,KOSTOEV Dzhafar,UA Emirates,['Judo']
1535375,Male,MAGOMEDOMAROV Magomedomar,UA Emirates,['Judo']
1535376,Male,TATALASHVILI Nugzari,UA Emirates,['Judo']
1535383,Female,BISHRELT Khorloodoi,UA Emirates,['Judo']
1535385,Male,HOUSSEIN Alexandre,Djibouti,['Judo']
1535395,Female,AL SAYEGH Safia,UA Emirates,['Cycling Road']
1535420,Female,VALENCIA Alejandra,Mexico,['Archery']
1535429,Female,RUIZ Angela,Mexico,['Archery']
1535430,Male,GRANDE Matias,Mexico,['Archery']
1535433,Female,PRIETO Marcela,Mexico,['Cycling Road']
1535438,Male,RAMIREZ RAMOS Edson Ismael,Mexico,['Shooting']
1535439,Female,RODRIGUEZ Gabriela,Mexico,['Shooting']
1535440,Female,ZAVALA VAZQUEZ Alejandra,Mexico,['Shooting']
1535441,Male,QUEZADA MARQUEZ Carlos,Mexico,['Shooting']
1535442,Male,PENAFLOR MOYSEN Aram Michell,Mexico,['Triathlon']
1535444,Female,REINOSO Sofia,Mexico,['Canoe Slalom']
1535448,Female,BRIONES FRAGOZA Beatriz,Mexico,['Canoe Sprint']
1535449,Female,ALANIS MORALES Karina,Mexico,['Canoe Sprint']
1535505,Female,LINARES Natalia,Colombia,['Athletics']
1535506,Male,LONGA Ronal,Colombia,['Athletics']
1535511,Female,RUIZ HURTADO Flor Denis,Colombia,['Athletics']
1535512,Female,ORJUELA Angie,Colombia,['Athletics']
1535513,Female,RENTERIA RENTERIA Tatiana,Colombia,['Wrestling']
1535514,Female,VALDES PANA Angie Paola,Colombia,['Boxing']
1535522,Female,ARBOLEDA MENDOZA Valeria,Colombia,['Boxing']
1535524,Male,BOLANOS LOPEZ Victor,Colombia,['Sailing']
1535609,Male,ABDOLI Samyar,IR Iran,['Swimming']
1535660,Female,SIMWAKA Asimenye,Malawi,['Athletics']
1535693,Male,AL MARZOOQI Omar Abdul Aziz,UA Emirates,['Equestrian']
1535729,Male,SERRANO Franco,Argentina,['Modern Pentathlon']
1535766,Male,KUMEL SAADI,Iraq,['Football']
1535776,Male,JOSEF AL IMAM,Iraq,['Football']
1535804,Male,MUNTADHER ABDULAMEER,Iraq,['Football']
1535805,Male,MUNTADHER MOHAMMED,Iraq,['Football']
1535852,Male,MAEDER Maximilian,Singapore,['Sailing']
1535853,Male,LO Ryan,Singapore,['Sailing']
1535854,Female,SIM En Yi Letitia,Singapore,['Swimming']
1535856,Male,TAN Jonathan Eu Jin,Singapore,['Swimming']
1535858,Female,PEREIRA Veronica Shanti,Singapore,['Athletics']
1535910,Male,ZAID TAHSEEN,Iraq,['Football']
1535913,Male,HUSSEIN AMER,Iraq,['Football']
1535914,Male,ANAK LISES Bertrand Rhodict,Malaysia,['Diving']
1535916,Male,HUSSEIN LAWEND,Iraq,['Football']
1535918,Male,WONG Guanjie Johnathan,Malaysia,['Shooting']
1535925,Female,MOHAMAD ZUBIR Nur Aisyah,Malaysia,['Cycling Road']
1535926,Female,MOHAMAD LATIF Nur Shazrin,Malaysia,['Sailing']
1535927,Male,ALI JASIM,Iraq,['Football']
1535928,Male,KARRAR SAAD,Iraq,['Football']
1535929,Male,KARRAR MOHAMMED,Iraq,['Football']
1535930,Male,NIHAD MOHAMMED,Iraq,['Football']
1535959,Male,DOUA Camil,Mauritania,['Swimming']
1535993,Female,CHEW Caroline,Singapore,['Equestrian']
1536032,Female,HERNANDEZ FLORES Margarita,Mexico,['Athletics']
1536045,Male,SALIMI Arian,IR Iran,['Taekwondo']
1536058,Male,BARKHORDARI Mehran,IR Iran,['Taekwondo']
1536064,Female,NEMATZADEH Mobina,IR Iran,['Taekwondo']
1536067,Female,KIYANICHANDEH Nahid,IR Iran,['Taekwondo']
1536157,Male,MPALI Adam,Gabon,['Swimming']
1536175,Female,AMISON Naima-Zahra,Djibouti,['Swimming']
1536184,Male,STREHLKE DELGADO Paulo,Mexico,['Marathon Swimming']
1536190,Female,SANDOVAL AYALA Martha,Mexico,['Marathon Swimming']
1536196,Female,ESTUDILLO TORRES Alejandra,Mexico,['Diving']
1536197,Male,CELAYA HERNANDEZ Juan Manuel,Mexico,['Diving']
1536198,Female,VAZQUEZ MONTANO Aranza,Mexico,['Diving']
1536207,Male,ALIPOUR SHENAZANDIFARD Reza,IR Iran,['Sport Climbing']
1536214,Male,ALAMIAN Nima,IR Iran,['Table Tennis']
1536215,Male,ALAMIYAN Noshad,IR Iran,['Table Tennis']
1536233,Male,YASEEN Taha Hussein,Iraq,['Athletics']
1536251,Female,MAAN Tulika,India,['Judo']
1536341,Male,ANCER Abraham,Mexico,['Golf']
1536368,Male,SHARMA Shubhankar,India,['Golf']
1536371,Male,BHULLAR Gaganjeet,India,['Golf']
1536372,Male,GIRMA Ermias,Ethiopia,['Athletics']
1536460,Male,ROJAS Carlos,Mexico,['Archery']
1536467,Male,MARTINEZ WING Bruno,Mexico,['Archery']
1536479,Female,VAZQUEZ Ana,Mexico,['Archery']
1536494,Male,RIVERA Edgar,Mexico,['Athletics']
1536495,Female,TAMAYO-GARZA Cecilia,Mexico,['Athletics']
1536496,Female,ALEMU Habitam,Ethiopia,['Athletics']
1536497,Female,MESELE Worknesh,Ethiopia,['Athletics']
1536498,Female,DUGUMA Tsige,Ethiopia,['Athletics']
1536522,Female,ASHOK Aditi,India,['Golf']
1536523,Female,DAGAR Diksha,India,['Golf']
1536568,Male,FAYISA Abdisa,Ethiopia,['Athletics']
1536585,Female,GUERRERO Ilse,Mexico,['Athletics']
1536599,Male,CHAMA Noel,Mexico,['Athletics']
1536600,Male,ORTIZ Ricardo,Mexico,['Athletics']
1536624,Female,SHAHSAVARI Neda,IR Iran,['Table Tennis']
1536632,Female,FALLAH Mobina,IR Iran,['Archery']
1536648,Male,LOH Kean Yew,Singapore,['Badminton']
1536649,Male,HEE Yong Kai Terry,Singapore,['Badminton']
1536650,Female,TAN Wei Han Jessica,Singapore,['Badminton']
1536651,Female,YEO Jia Min,Singapore,['Badminton']
1536669,Male,LABIB Ali,IR Iran,['Cycling Road']
1536683,Female,FASIHI Farzaneh,IR Iran,['Athletics']
1536701,Male,TAFTIAN Hassan,IR Iran,['Athletics']
1536721,Male,PANWAR Balraj,India,['Rowing']
1536885,Female,RICKETTS Shanieka,Jamaica,['Athletics']
1536925,Male,HARRIS Naquille,St Kitts and Nevis,['Athletics']
1536961,Male,DAVOUDI Ali,IR Iran,['Weightlifting']
1536971,Male,JAVADI ALIABADI Mir Mostafa,IR Iran,['Weightlifting']
1536983,Female,WELTEJI Diribe,Ethiopia,['Athletics']
1536990,Female,HAYLOM Birke,Ethiopia,['Athletics']
1536992,Female,HAILU Freweyni,Ethiopia,['Athletics']
1536996,Male,AGHAMIRZAEIJENAGHARD Ali,IR Iran,['Canoe Sprint']
1536997,Male,MAYALA Freddy,Congo,['Swimming']
1536998,Male,AREGAWI Berihu,Ethiopia,['Athletics']
1536999,Male,KEJELCHA Yomif,Ethiopia,['Athletics']
1537001,Male,GEBRHIWET Hagos,Ethiopia,['Athletics']
1537002,Female,BOBIMBO Vanessa,Congo,['Swimming']
1537010,Female,NGOYE Natacha,Congo,['Athletics']
1537012,Female,SAIKHOM Mirabai Chanu,India,['Weightlifting']
1537049,Male,BAREGA Selemon,Ethiopia,['Athletics']
1537052,Male,TEFERA Samuel,Ethiopia,['Athletics']
1537053,Male,YIHUNE Addisu,Ethiopia,['Athletics']
1537057,Male,MEHARY Biniam,Ethiopia,['Athletics']
1537066,Female,TAYE Ejgayehu,Ethiopia,['Athletics']
1537069,Female,EISA Medina,Ethiopia,['Athletics']
1537079,Female,GEBRESELAMA Tsigie,Ethiopia,['Athletics']
1537135,Female,ZENG Jian,Singapore,['Table Tennis']
1537137,Male,QUEK Izaac,Singapore,['Table Tennis']
1537144,Male,VEGA Jerome,Puerto Rico,['Athletics']
1537145,Male,OWENS-DELERME Ayden,Puerto Rico,['Athletics']
1537149,Female,de ORBETA Rachelle,Puerto Rico,['Athletics']
1537150,Female,SCOTT Gabby,Puerto Rico,['Athletics']
1537163,Male,D'AMOUR Nicholas,"Virgin Islands, US",['Archery']
1537168,Male,CASTRO RIVERA Luis,Puerto Rico,['Athletics']
1537180,Female,CEBALLOS Macarena,Argentina,['Swimming']
1537183,Female,CAMACHO-QUINN Jasmine,Puerto Rico,['Athletics']
1537185,Male,CHEVRIER Luc,Saint Lucia,['Sailing']
1537187,Male,FERNANDEZ GAMBOA Pedro Luis,Puerto Rico,['Sailing']
1537188,Male,RIVERA Sebastian C,Puerto Rico,['Wrestling']
1537189,Female,LOZADA MOTTA Ashleyann,Puerto Rico,['Boxing']
1537191,Female,PULIDO ORTIZ Celia,Mexico,['Swimming']
1537203,Male,HYDE Jaheel,Jamaica,['Athletics']
1537204,Male,IGA Jorge,Mexico,['Swimming']
1537209,Female,HEIN Agostina,Argentina,['Swimming']
1537256,Female,SASSER Mathlynn,Marshall Islands,['Weightlifting']
1537272,Female,HEPLER Kayla,Marshall Islands,['Swimming']
1537273,Male,KINONO Philli,Marshall Islands,['Swimming']
1537276,Male,GARRIDO Luis Ramon,Mexico,['Badminton']
1537286,Female,MARTINEZ Paulina,Mexico,['Judo']
1537287,Female,AWITI ALCARAZ Prisca,Mexico,['Judo']
1537312,Male,REZAEI Mohammad Nabi,IR Iran,['Canoe Sprint']
1537323,Male,MUSTAFA SAADOON,Iraq,['Football']
1537325,Female,ALFRED Julien,Saint Lucia,['Athletics']
1537331,Male,JOSEPH Michael,Saint Lucia,['Athletics']
1537336,Male,YOUSSEF AMYN,Iraq,['Football']
1537345,Female,TSEGAY Gudaf,Ethiopia,['Athletics']
1537349,Female,ALSADEQ Julyana,Jordan,['Taekwondo']
1537368,Female,TESFAY Fotyen,Ethiopia,['Athletics']
1537375,Female,MOJALLALTOPRAGHGHALE Fatemeh,IR Iran,['Rowing']
1537376,Male,ELSHARABATY Saleh,Jordan,['Taekwondo']
1537377,Male,AL KHATRI Said,Oman,['Shooting']
1537394,Male,AL ADAWI Issa Samir Hamed,Oman,['Swimming']
1537401,Male,KAREEM Zaid,Jordan,['Taekwondo']
1537402,Male,SARAVANAN Vishnu,India,['Sailing']
1537405,Female,KUMANAN Nethra,India,['Sailing']
1537465,Male,SARAVIA Ulises,Argentina,['Swimming']
1537510,Female,BORELLI Florencia,Argentina,['Athletics']
1537518,Female,CASETTA Belen,Argentina,['Athletics']
1537531,Male,GOMEZ Joaquin,Argentina,['Athletics']
1537538,Male,LARREGINA Elian,Argentina,['Athletics']
1537547,Male,SASIA Nazareno,Argentina,['Athletics']
1537549,Male,GADAYI Edwin Kwabla,Ghana,['Athletics']
1537579,Male,ODLUM-SMITH Jayhan Jamaud,Saint Lucia,['Swimming']
1537661,Male,ABUZRIBA Ahmed,Libya,['Weightlifting']
1537667,Male,BUKRAH Mohamed,Libya,['Rowing']
1537686,Male,BOUDINA Sid Ali,Algeria,['Rowing']
1537927,Male,GIL Federico,Argentina,['Shooting']
