medal_type,code,country
Gold Medal,1903136,Belgium
Silver Medal,1923520,Italy
Bronze Medal,1903147,Belgium
Gold Medal,1940173,Australia
Silver Medal,1912525,Great Britain
Bronze Medal,1955079,United States
Gold Medal,1927149,Korea
Silver Medal,1937783,Tunisia
Bronze Medal,1924595,Italy
Gold Medal,1963262,"Hong Kong, China"
Silver Medal,1916183,France
Bronze Medal,1946375,Hungary
Gold Medal,1935408,Kazakhstan
Silver Medal,1891304,France
Bronze Medal,1896752,Japan
Bronze Medal,1563544,Spain
Gold Medal,1896735,Japan
Silver Medal,1914467,Mongolia
Bronze Medal,1891280,France
Bronze Medal,1571911,Sweden
Gold Medal,1907192,Germany
Silver Medal,1946172,Australia
Bronze Medal,4654306,Korea
Gold Medal,1946150,Australia
Silver Medal,1967140,Canada
Bronze Medal,1935938,United States
Gold Medal,1940205,Australia
Silver Medal,1942126,Poland
Bronze Medal,1896045,Great Britain
Gold Medal,1895672,France
Silver Medal,1955070,United States
Bronze Medal,1564023,Sweden
Gold Medal,1896548,Japan
Silver Medal,1916194,France
Bronze Medal,1936462,Egypt
Gold Medal,1950611,United States
Silver Medal,1950643,United States
Bronze Medal,1973213,Canada
Gold Medal,1896763,Japan
Silver Medal,1953840,Brazil
Bronze Medal,1935410,Kazakhstan
Bronze Medal,1561138,Republic of Moldova
Gold Medal,1566997,Uzbekistan
Silver Medal,1550162,Kosovo
Bronze Medal,1953817,Brazil
Bronze Medal,1891283,France
Gold Medal,1913907,China
Silver Medal,1551388,Italy
Bronze Medal,1551387,Italy
Gold Medal,1893972,Korea
Silver Medal,1893930,Korea
Bronze Medal,1538159,India
Gold Medal,1902055,Japan
Silver Medal,1902069,Japan
Bronze Medal,1955689,Brazil
Gold Medal,1925633,Italy
Silver Medal,1956469,Great Britain
Silver Medal,1935901,United States
Gold Medal,1909294,France
Silver Medal,1963635,Japan
Bronze Medal,1935903,United States
Gold Medal,1935923,United States
Silver Medal,1935998,United States
Bronze Medal,1945125,China
Gold Medal,1880479,France
Silver Medal,1896030,Great Britain
Bronze Medal,1961080,Slovakia
Gold Medal,1912546,Great Britain
Silver Medal,1895687,France
Bronze Medal,1943604,South Africa
Gold Medal,1914921,Germany
Silver Medal,1940438,Australia
Bronze Medal,1970898,Great Britain
Gold Medal,1963245,"Hong Kong, China"
Silver Medal,1924289,Italy
Bronze Medal,1950602,United States
Gold Medal,1916223,France
Silver Medal,1916222,France
Bronze Medal,1897644,Ukraine
Gold Medal,1972337,Azerbaijan
Silver Medal,1891311,France
Bronze Medal,1563437,Republic of Moldova
Bronze Medal,1896740,Japan
Gold Medal,1955526,Canada
Silver Medal,1928067,Korea
Bronze Medal,1896733,Japan
Bronze Medal,1891286,France
Gold Medal,1913899,China
Silver Medal,1572919,Sweden
Bronze Medal,1888047,Croatia
Gold Medal,1893845,Korea
Silver Medal,1913945,China
Bronze Medal,1976545,Switzerland
Gold Medal,1902081,Japan
Silver Medal,1944226,United States
Bronze Medal,1944232,United States
Gold Medal,1925635,Italy
Silver Medal,1945132,China
Bronze Medal,1935957,United States
Gold Medal,1543549,Romania
Silver Medal,1903617,Great Britain
Bronze Medal,1935918,United States
Gold Medal,1962589,South Africa
Silver Medal,1945200,China
Bronze Medal,1543304,Ireland
Gold Medal,1946218,Australia
Silver Medal,1946150,Australia
Bronze Medal,1925125,"Hong Kong, China"
Gold Medal,1967140,Canada
Silver Medal,1935909,United States
Bronze Medal,1936001,United States
Gold Medal,1896765,Japan
Silver Medal,1546651,Georgia
Bronze Medal,1928079,Korea
Bronze Medal,1570561,Tajikistan
Gold Medal,1980833,Slovenia
Silver Medal,1537287,Mexico
Bronze Medal,1891289,France
Bronze Medal,1550167,Kosovo
Gold Medal,1904430,Great Britain
Silver Medal,1913928,China
Bronze Medal,1958970,Guatemala
Gold Medal,1539969,Ireland
Silver Medal,1935902,United States
Bronze Medal,1925630,Italy
Gold Medal,1946198,Australia
Silver Medal,1935984,United States
Bronze Medal,1935873,United States
Gold Medal,1919480,Japan
Silver Medal,1918864,China
Bronze Medal,1918860,China
Gold Medal,1940205,Australia
Silver Medal,1913770,Germany
Bronze Medal,1955132,United States
Gold Medal,1916809,Argentina
Silver Medal,1912548,Great Britain
Bronze Medal,1895685,France
Gold Medal,1920569,China
Silver Medal,1955071,United States
Bronze Medal,1940118,Australia
Gold Medal,1548817,Georgia
Silver Medal,1896750,Japan
Bronze Medal,1891318,France
Bronze Medal,1961318,Greece
Gold Medal,1898499,Croatia
Silver Medal,1563082,Germany
Bronze Medal,1566421,Austria
Bronze Medal,1903248,Belgium
Gold Medal,1958899,Guatemala
Silver Medal,1915317,Italy
Bronze Medal,1967454,Australia
Gold Medal,1945148,China
Silver Medal,1946200,Australia
Bronze Medal,1543549,Romania
Gold Medal,1909294,France
Silver Medal,1946185,Australia
Bronze Medal,1972545,Netherlands
Gold Medal,1909294,France
Silver Medal,1905860,Hungary
Bronze Medal,1967058,Canada
Gold Medal,1572557,Sweden
Silver Medal,1935923,United States
Bronze Medal,1925125,"Hong Kong, China"
Gold Medal,1935938,United States
Silver Medal,1909209,France
Bronze Medal,1907171,Germany
Gold Medal,1904251,Great Britain
Silver Medal,1926549,New Zealand
Bronze Medal,1543967,France
Gold Medal,1543963,France
Silver Medal,1976489,Switzerland
Bronze Medal,1904244,Great Britain
Gold Medal,1959861,United States
Silver Medal,1953634,Brazil
Bronze Medal,1959866,United States
Gold Medal,1929767,Ecuador
Silver Medal,1951928,Brazil
Bronze Medal,1904165,Spain
Gold Medal,1919002,China
Silver Medal,1905369,Spain
Bronze Medal,1939791,Australia
Gold Medal,1550975,Italy
Silver Medal,1880464,France
Bronze Medal,1953935,Spain
Gold Medal,1972367,Azerbaijan
Silver Medal,1552370,Georgia
Bronze Medal,1892957,Israel
Bronze Medal,1565754,Uzbekistan
Gold Medal,1925349,Italy
Silver Medal,1892794,Israel
Bronze Medal,1891067,China
Bronze Medal,1943504,Portugal
Gold Medal,1913922,China
Silver Medal,1555976,Ukraine
Bronze Medal,1538084,India
Gold Medal,1904977,Hungary
Silver Medal,1954557,Greece
Bronze Medal,1977754,Switzerland
Gold Medal,1935895,United States
Silver Medal,1962589,South Africa
Bronze Medal,1972525,Netherlands
Gold Medal,1967140,Canada
Silver Medal,1935984,United States
Bronze Medal,1945125,China
Gold Medal,1970827,Uganda
Silver Medal,1536998,Ethiopia
Bronze Medal,1960959,United States
Gold Medal,1895661,France
Silver Medal,1895640,France
Bronze Medal,1895700,France
Gold Medal,1940127,Australia
Silver Medal,1969181,Netherlands
Bronze Medal,1976480,Switzerland
Gold Medal,1891323,France
Silver Medal,1928072,Korea
Bronze Medal,1567512,Tajikistan
Bronze Medal,1566931,Uzbekistan
Gold Medal,1953777,Brazil
Silver Medal,1892796,Israel
Bronze Medal,1928070,Korea
Bronze Medal,1891300,France
Gold Medal,1977709,Switzerland
Silver Medal,1944373,United States
Bronze Medal,1913972,China
Gold Medal,1909294,France
Silver Medal,1903621,Great Britain
Bronze Medal,1945186,China
Gold Medal,1946161,Australia
Silver Medal,1903616,Great Britain
Bronze Medal,1909292,France
Gold Medal,1946198,Australia
Silver Medal,1935984,United States
Bronze Medal,1967104,Canada
Bronze Medal,1931815,Poland
Gold Medal,1937347,AIN
Silver Medal,1918790,China
Bronze Medal,1918789,China
Gold Medal,1904745,Great Britain
Silver Medal,1938437,AIN
Bronze Medal,1973102,Canada
Gold Medal,1902147,Korea
Silver Medal,1902148,Korea
Bronze Medal,1541265,France
Gold Medal,1975874,Philippines
Silver Medal,1908195,Israel
Bronze Medal,1904741,Great Britain
Gold Medal,1539986,Ireland
Silver Medal,1931577,Kazakhstan
Bronze Medal,1959865,United States
Gold Medal,1959861,United States
Silver Medal,1953634,Brazil
Bronze Medal,1959819,United States
Gold Medal,1878353,Norway
